country_isocode	taxonid	scientific_name	category
UZ	85181182	Barbastella leucomelas	LC
UZ	7915	Eptesicus bottae	LC
UZ	41531	Eptesicus gobiensis	LC
UZ	7911	Eptesicus serotinus	LC
UZ	136219	Myotis bucharensis	DD
UZ	14129	Myotis emarginatus	LC
UZ	136495	Myotis nipalensis	LC
UZ	85294528	Otonycteris hemprichii	LC
UZ	85295233	Otonycteris leucophaea	DD
UZ	85333758	Pipistrellus aladdin	DD
UZ	19526	Rhinolophus bocharicus	LC
UZ	19517	Rhinolophus ferrumequinum	LC
UZ	19518	Rhinolophus hipposideros	LC
UZ	21311	Tadarida teniotis	LC
UZ	22947	Vespertilio murinus	LC
QA	85294528	Otonycteris hemprichii	LC
SA	2153	Asellia patrizii	LC
SA	80221529	Asellia tridens	LC
SA	85181182	Barbastella leucomelas	LC
SA	67362271	Chaerephon pumilus	LC
SA	7084	Eidolon helvum	NT
SA	7915	Eptesicus bottae	LC
SA	10115	Hipposideros caffer	LC
SA	10150	Hipposideros megalotis	LC
SA	44862	Miniopterus natalensis	LC
SA	13841	Mops midas	LC
SA	14129	Myotis emarginatus	LC
SA	14936	Nycteris thebaica	LC
SA	41533	Nycticeinops schlieffeni	LC
SA	85294528	Otonycteris hemprichii	LC
SA	44852	Pipistrellus ariel	DD
SA	17314	Pipistrellus kuhlii	LC
SA	19531	Rhinolophus clivosus	LC
SA	19517	Rhinolophus ferrumequinum	LC
SA	19518	Rhinolophus hipposideros	LC
SA	82345555	Rhinopoma cystops	LC
SA	82345477	Rhinopoma hardwickii	LC
SA	19600	Rhinopoma microphyllum	LC
SA	7935	Rhyneptesicus nasutus	LC
SA	29730	Rousettus aegyptiacus	LC
SA	21312	Tadarida aegyptiaca	LC
SA	21311	Tadarida teniotis	LC
SA	21462	Taphozous nudiventris	LC
SA	21463	Taphozous perforatus	LC
AF	80221529	Asellia tridens	LC
AF	85181182	Barbastella leucomelas	LC
AF	7915	Eptesicus bottae	LC
AF	41531	Eptesicus gobiensis	LC
AF	7911	Eptesicus serotinus	LC
AF	10135	Hipposideros fulvus	LC
AF	44856	Hypsugo savii	LC
AF	12938	Megaderma lyra	LC
AF	81633057	Miniopterus schreibersii	NT
AF	14123	Myotis bechsteinii	NT
AF	14124	Myotis blythii	LC
AF	14129	Myotis emarginatus	LC
AF	14160	Myotis formosus	LC
AF	14175	Myotis longipes	DD
AF	136495	Myotis nipalensis	LC
AF	14919	Nyctalus leisleri	LC
AF	14923	Nyctalus montanus	LC
AF	85294528	Otonycteris hemprichii	LC
AF	85295233	Otonycteris leucophaea	DD
AF	85333758	Pipistrellus aladdin	DD
AF	17335	Pipistrellus coromandra	LC
AF	17314	Pipistrellus kuhlii	LC
AF	17317	Pipistrellus pipistrellus	LC
AF	17368	Pipistrellus tenuis	LC
AF	19515	Rhinolophus blasii	LC
AF	19526	Rhinolophus bocharicus	LC
AF	19517	Rhinolophus ferrumequinum	LC
AF	19518	Rhinolophus hipposideros	LC
AF	19547	Rhinolophus lepidus	LC
AF	19519	Rhinolophus mehelyi	VU
AF	82345477	Rhinopoma hardwickii	LC
AF	19602	Rhinopoma muscatellum	LC
AF	7935	Rhyneptesicus nasutus	LC
AF	20067	Scotophilus heathii	LC
AF	21312	Tadarida aegyptiaca	LC
AF	21311	Tadarida teniotis	LC
AF	21462	Taphozous nudiventris	LC
AF	22947	Vespertilio murinus	LC
LB	7915	Eptesicus bottae	LC
LB	7911	Eptesicus serotinus	LC
LB	44856	Hypsugo savii	LC
LB	81633057	Miniopterus schreibersii	NT
LB	14124	Myotis blythii	LC
LB	14126	Myotis capaccinii	VU
LB	14129	Myotis emarginatus	LC
LB	14133	Myotis myotis	LC
LB	14135	Myotis nattereri	LC
LB	14920	Nyctalus noctula	LC
LB	17314	Pipistrellus kuhlii	LC
LB	17317	Pipistrellus pipistrellus	LC
LB	136473	Plecotus kolombatovici	LC
LB	19516	Rhinolophus euryale	NT
LB	19517	Rhinolophus ferrumequinum	LC
LB	19518	Rhinolophus hipposideros	LC
LB	19600	Rhinopoma microphyllum	LC
LB	29730	Rousettus aegyptiacus	LC
LB	21311	Tadarida teniotis	LC
CY	7911	Eptesicus serotinus	LC
CY	44856	Hypsugo savii	LC
CY	81633057	Miniopterus schreibersii	NT
CY	14124	Myotis blythii	LC
CY	14126	Myotis capaccinii	VU
CY	14129	Myotis emarginatus	LC
CY	14133	Myotis myotis	LC
CY	14135	Myotis nattereri	LC
CY	14918	Nyctalus lasiopterus	VU
CY	14920	Nyctalus noctula	LC
CY	17314	Pipistrellus kuhlii	LC
CY	17317	Pipistrellus pipistrellus	LC
CY	136473	Plecotus kolombatovici	LC
CY	19515	Rhinolophus blasii	LC
CY	19517	Rhinolophus ferrumequinum	LC
CY	19518	Rhinolophus hipposideros	LC
CY	19519	Rhinolophus mehelyi	VU
CY	29730	Rousettus aegyptiacus	LC
CY	21311	Tadarida teniotis	LC
SY	80221529	Asellia tridens	LC
SY	7915	Eptesicus bottae	LC
SY	41531	Eptesicus gobiensis	LC
SY	7911	Eptesicus serotinus	LC
SY	44856	Hypsugo savii	LC
SY	81633057	Miniopterus schreibersii	NT
SY	136553	Myotis aurascens	LC
SY	14124	Myotis blythii	LC
SY	14126	Myotis capaccinii	VU
SY	14129	Myotis emarginatus	LC
SY	14133	Myotis myotis	LC
SY	14135	Myotis nattereri	LC
SY	85294528	Otonycteris hemprichii	LC
SY	17314	Pipistrellus kuhlii	LC
SY	136229	Plecotus macrobullaris	LC
SY	19515	Rhinolophus blasii	LC
SY	19516	Rhinolophus euryale	NT
SY	19517	Rhinolophus ferrumequinum	LC
SY	19518	Rhinolophus hipposideros	LC
SY	19519	Rhinolophus mehelyi	VU
SY	82345555	Rhinopoma cystops	LC
SY	82345477	Rhinopoma hardwickii	LC
SY	19600	Rhinopoma microphyllum	LC
SY	29730	Rousettus aegyptiacus	LC
SY	21311	Tadarida teniotis	LC
SY	21462	Taphozous nudiventris	LC
TJ	85181182	Barbastella leucomelas	LC
TJ	7915	Eptesicus bottae	LC
TJ	41531	Eptesicus gobiensis	LC
TJ	14124	Myotis blythii	LC
TJ	136219	Myotis bucharensis	DD
TJ	14129	Myotis emarginatus	LC
TJ	136495	Myotis nipalensis	LC
TJ	85294528	Otonycteris hemprichii	LC
TJ	85295233	Otonycteris leucophaea	DD
TJ	85333758	Pipistrellus aladdin	DD
TJ	19526	Rhinolophus bocharicus	LC
TJ	19517	Rhinolophus ferrumequinum	LC
TJ	19518	Rhinolophus hipposideros	LC
TJ	21311	Tadarida teniotis	LC
TM	85181182	Barbastella leucomelas	LC
TM	7915	Eptesicus bottae	LC
TM	41531	Eptesicus gobiensis	LC
TM	7911	Eptesicus serotinus	LC
TM	44856	Hypsugo savii	LC
TM	14124	Myotis blythii	LC
TM	14129	Myotis emarginatus	LC
TM	14135	Myotis nattereri	LC
TM	136495	Myotis nipalensis	LC
TM	14918	Nyctalus lasiopterus	VU
TM	85294528	Otonycteris hemprichii	LC
TM	85295233	Otonycteris leucophaea	DD
TM	85333758	Pipistrellus aladdin	DD
TM	85535176	Plecotus turkmenicus	LC
TM	19515	Rhinolophus blasii	LC
TM	19526	Rhinolophus bocharicus	LC
TM	19517	Rhinolophus ferrumequinum	LC
TM	19518	Rhinolophus hipposideros	LC
TM	21311	Tadarida teniotis	LC
TM	22947	Vespertilio murinus	LC
AE	7915	Eptesicus bottae	LC
AE	85294528	Otonycteris hemprichii	LC
AE	17314	Pipistrellus kuhlii	LC
AE	29730	Rousettus aegyptiacus	LC
AE	21462	Taphozous nudiventris	LC
AE	81069403	Triaenops persicus	LC
IR	80221529	Asellia tridens	LC
IR	2553	Barbastella barbastellus	NT
IR	85181182	Barbastella leucomelas	LC
IR	7914	Eptesicus bobrinskoi	DD
IR	7915	Eptesicus bottae	LC
IR	7910	Eptesicus nilssonii	LC
IR	85200202	Eptesicus pachyomus	LC
IR	7911	Eptesicus serotinus	LC
IR	17328	Hypsugo arabicus	DD
IR	44856	Hypsugo savii	LC
IR	136553	Myotis aurascens	LC
IR	14123	Myotis bechsteinii	NT
IR	14124	Myotis blythii	LC
IR	14126	Myotis capaccinii	VU
IR	14129	Myotis emarginatus	LC
IR	14135	Myotis nattereri	LC
IR	136495	Myotis nipalensis	LC
IR	14198	Myotis schaubi	DD
IR	14918	Nyctalus lasiopterus	VU
IR	14919	Nyctalus leisleri	LC
IR	14920	Nyctalus noctula	LC
IR	85294528	Otonycteris hemprichii	LC
IR	85295233	Otonycteris leucophaea	DD
IR	85333758	Pipistrellus aladdin	DD
IR	17314	Pipistrellus kuhlii	LC
IR	17317	Pipistrellus pipistrellus	LC
IR	136649	Pipistrellus pygmaeus	LC
IR	17596	Plecotus auritus	LC
IR	136229	Plecotus macrobullaris	LC
IR	19515	Rhinolophus blasii	LC
IR	19526	Rhinolophus bocharicus	LC
IR	19516	Rhinolophus euryale	NT
IR	19517	Rhinolophus ferrumequinum	LC
IR	19518	Rhinolophus hipposideros	LC
IR	19519	Rhinolophus mehelyi	VU
IR	82345477	Rhinopoma hardwickii	LC
IR	19600	Rhinopoma microphyllum	LC
IR	19602	Rhinopoma muscatellum	LC
IR	7935	Rhyneptesicus nasutus	LC
IR	29730	Rousettus aegyptiacus	LC
IR	21312	Tadarida aegyptiaca	LC
IR	21311	Tadarida teniotis	LC
IR	21462	Taphozous nudiventris	LC
IR	21463	Taphozous perforatus	LC
IR	81069403	Triaenops persicus	LC
IR	22947	Vespertilio murinus	LC
IQ	7915	Eptesicus bottae	LC
IQ	7910	Eptesicus nilssonii	LC
IQ	44856	Hypsugo savii	LC
IQ	136553	Myotis aurascens	LC
IQ	14124	Myotis blythii	LC
IQ	14126	Myotis capaccinii	VU
IQ	14135	Myotis nattereri	LC
IQ	14920	Nyctalus noctula	LC
IQ	17314	Pipistrellus kuhlii	LC
IQ	17361	Pipistrellus rueppellii	LC
IQ	19516	Rhinolophus euryale	NT
IQ	19517	Rhinolophus ferrumequinum	LC
IQ	19518	Rhinolophus hipposideros	LC
IQ	19519	Rhinolophus mehelyi	VU
IQ	82345477	Rhinopoma hardwickii	LC
IQ	19600	Rhinopoma microphyllum	LC
IQ	7935	Rhyneptesicus nasutus	LC
IQ	21311	Tadarida teniotis	LC
IQ	21462	Taphozous nudiventris	LC
OM	80222726	Asellia arabica	DD
OM	80221529	Asellia tridens	LC
OM	7915	Eptesicus bottae	LC
OM	17328	Hypsugo arabicus	DD
OM	14129	Myotis emarginatus	LC
OM	14920	Nyctalus noctula	LC
OM	85294528	Otonycteris hemprichii	LC
OM	17314	Pipistrellus kuhlii	LC
OM	19515	Rhinolophus blasii	LC
OM	19531	Rhinolophus clivosus	LC
OM	82345555	Rhinopoma cystops	LC
OM	82345477	Rhinopoma hardwickii	LC
OM	19600	Rhinopoma microphyllum	LC
OM	19602	Rhinopoma muscatellum	LC
OM	7935	Rhyneptesicus nasutus	LC
OM	29730	Rousettus aegyptiacus	LC
OM	21312	Tadarida aegyptiaca	LC
OM	21463	Taphozous perforatus	LC
OM	81082829	Triaenops parvus	DD
OM	81069403	Triaenops persicus	LC
PK	80221529	Asellia tridens	LC
PK	85181182	Barbastella leucomelas	LC
PK	6106	Cynopterus sphinx	LC
PK	7915	Eptesicus bottae	LC
PK	41531	Eptesicus gobiensis	LC
PK	85200202	Eptesicus pachyomus	LC
PK	7911	Eptesicus serotinus	LC
PK	10119	Hipposideros cineraceus	LC
PK	10135	Hipposideros fulvus	LC
PK	12938	Megaderma lyra	LC
PK	84560827	Murina tubinaris	DD
PK	14124	Myotis blythii	LC
PK	14919	Nyctalus leisleri	LC
PK	85294528	Otonycteris hemprichii	LC
PK	85295233	Otonycteris leucophaea	DD
PK	17332	Pipistrellus ceylonicus	LC
PK	17335	Pipistrellus coromandra	LC
PK	17344	Pipistrellus javanicus	LC
PK	17314	Pipistrellus kuhlii	LC
PK	17317	Pipistrellus pipistrellus	LC
PK	17368	Pipistrellus tenuis	LC
PK	85537505	Plecotus homochrous	DD
PK	18725	Pteropus giganteus	LC
PK	19515	Rhinolophus blasii	LC
PK	19526	Rhinolophus bocharicus	LC
PK	19517	Rhinolophus ferrumequinum	LC
PK	19518	Rhinolophus hipposideros	LC
PK	19547	Rhinolophus lepidus	LC
PK	19550	Rhinolophus macrotis	LC
PK	82345477	Rhinopoma hardwickii	LC
PK	19600	Rhinopoma microphyllum	LC
PK	19602	Rhinopoma muscatellum	LC
PK	7935	Rhyneptesicus nasutus	LC
PK	29730	Rousettus aegyptiacus	LC
PK	19756	Rousettus leschenaultii	LC
PK	20056	Scotoecus pallidus	LC
PK	20067	Scotophilus heathii	LC
PK	20068	Scotophilus kuhlii	LC
PK	17338	Scotozous dormeri	LC
PK	21312	Tadarida aegyptiaca	LC
PK	21462	Taphozous nudiventris	LC
PK	21463	Taphozous perforatus	LC
PK	81069403	Triaenops persicus	LC
IL	80221529	Asellia tridens	LC
IL	85181182	Barbastella leucomelas	LC
IL	7915	Eptesicus bottae	LC
IL	7911	Eptesicus serotinus	LC
IL	44856	Hypsugo savii	LC
IL	81633057	Miniopterus schreibersii	NT
IL	14124	Myotis blythii	LC
IL	14126	Myotis capaccinii	VU
IL	14129	Myotis emarginatus	LC
IL	14133	Myotis myotis	LC
IL	14135	Myotis nattereri	LC
IL	14920	Nyctalus noctula	LC
IL	14936	Nycteris thebaica	LC
IL	85294528	Otonycteris hemprichii	LC
IL	44852	Pipistrellus ariel	DD
IL	17314	Pipistrellus kuhlii	LC
IL	17317	Pipistrellus pipistrellus	LC
IL	17361	Pipistrellus rueppellii	LC
IL	19515	Rhinolophus blasii	LC
IL	19531	Rhinolophus clivosus	LC
IL	19516	Rhinolophus euryale	NT
IL	19517	Rhinolophus ferrumequinum	LC
IL	19518	Rhinolophus hipposideros	LC
IL	19519	Rhinolophus mehelyi	VU
IL	82345555	Rhinopoma cystops	LC
IL	82345477	Rhinopoma hardwickii	LC
IL	19600	Rhinopoma microphyllum	LC
IL	29730	Rousettus aegyptiacus	LC
IL	21311	Tadarida teniotis	LC
IL	21462	Taphozous nudiventris	LC
IL	21463	Taphozous perforatus	LC
JO	7915	Eptesicus bottae	LC
JO	81633057	Miniopterus schreibersii	NT
JO	14124	Myotis blythii	LC
JO	14126	Myotis capaccinii	VU
JO	14129	Myotis emarginatus	LC
JO	14135	Myotis nattereri	LC
JO	14936	Nycteris thebaica	LC
JO	85294528	Otonycteris hemprichii	LC
JO	44852	Pipistrellus ariel	DD
JO	17314	Pipistrellus kuhlii	LC
JO	19515	Rhinolophus blasii	LC
JO	19531	Rhinolophus clivosus	LC
JO	19516	Rhinolophus euryale	NT
JO	19517	Rhinolophus ferrumequinum	LC
JO	19518	Rhinolophus hipposideros	LC
JO	19519	Rhinolophus mehelyi	VU
JO	82345555	Rhinopoma cystops	LC
JO	82345477	Rhinopoma hardwickii	LC
JO	19600	Rhinopoma microphyllum	LC
JO	29730	Rousettus aegyptiacus	LC
JO	21311	Tadarida teniotis	LC
JO	21462	Taphozous nudiventris	LC
KZ	7914	Eptesicus bobrinskoi	DD
KZ	7915	Eptesicus bottae	LC
KZ	41531	Eptesicus gobiensis	LC
KZ	44856	Hypsugo savii	LC
KZ	136553	Myotis aurascens	LC
KZ	14124	Myotis blythii	LC
KZ	14125	Myotis brandtii	LC
KZ	14127	Myotis dasycneme	NT
KZ	14128	Myotis daubentonii	LC
KZ	14129	Myotis emarginatus	LC
KZ	14168	Myotis ikonnikovi	LC
KZ	136495	Myotis nipalensis	LC
KZ	14918	Nyctalus lasiopterus	VU
KZ	14919	Nyctalus leisleri	LC
KZ	14920	Nyctalus noctula	LC
KZ	85294528	Otonycteris hemprichii	LC
KZ	85295233	Otonycteris leucophaea	DD
KZ	85333758	Pipistrellus aladdin	DD
KZ	17314	Pipistrellus kuhlii	LC
KZ	17317	Pipistrellus pipistrellus	LC
KZ	17596	Plecotus auritus	LC
KZ	136598	Plecotus ognevi	LC
KZ	85535176	Plecotus turkmenicus	LC
KZ	19526	Rhinolophus bocharicus	LC
KZ	19517	Rhinolophus ferrumequinum	LC
KZ	19518	Rhinolophus hipposideros	LC
KZ	21311	Tadarida teniotis	LC
KW	17314	Pipistrellus kuhlii	LC
KW	82345477	Rhinopoma hardwickii	LC
KG	85181182	Barbastella leucomelas	LC
KG	7915	Eptesicus bottae	LC
KG	41531	Eptesicus gobiensis	LC
KG	7910	Eptesicus nilssonii	LC
KG	14124	Myotis blythii	LC
KG	14129	Myotis emarginatus	LC
KG	136495	Myotis nipalensis	LC
KG	85295233	Otonycteris leucophaea	DD
KG	85333758	Pipistrellus aladdin	DD
KG	19526	Rhinolophus bocharicus	LC
KG	19517	Rhinolophus ferrumequinum	LC
KG	19518	Rhinolophus hipposideros	LC
KG	21311	Tadarida teniotis	LC
VN	40031	Arielulus aureocollaris	LC
VN	41534	Arielulus circumdatus	LC
VN	2155	Aselliscus stoliczkanus	LC
VN	4316	Chaerephon plicatus	LC
VN	5074	Coelops frithii	NT
VN	6103	Cynopterus brachyotis	LC
VN	6106	Cynopterus sphinx	LC
VN	7787	Eonycteris spelaea	LC
VN	85200202	Eptesicus pachyomus	LC
VN	7911	Eptesicus serotinus	LC
VN	8168	Eudiscopus denticulus	LC
VN	81189973	Glischropus bucephalus	LC
VN	9248	Glischropus tylopus	LC
VN	99711843	Harpiocephalus harpia	LC
VN	9975	Hesperoptenus blanfordi	LC
VN	9978	Hesperoptenus tickelli	LC
VN	80224880	Hipposideros alongensis	VU
VN	10110	Hipposideros armiger	LC
VN	10119	Hipposideros cineraceus	LC
VN	10128	Hipposideros diadema	LC
VN	10136	Hipposideros galeritus	LC
VN	136478	Hipposideros grandis	LC
VN	80222915	Hipposideros griffini	NT
VN	136819	Hipposideros khaokhouayensis	VU
VN	10143	Hipposideros larvatus	LC
VN	10145	Hipposideros lylei	LC
VN	10154	Hipposideros pomona	LC
VN	10155	Hipposideros pratti	LC
VN	136586	Hipposideros scutinares	VU
VN	17331	Hypsugo cadornae	LC
VN	85201719	Hypsugo dolichodon	DD
VN	17345	Hypsugo joffrei	DD
VN	10755	Ia io	LC
VN	10974	Kerivoula hardwickii	LC
VN	136240	Kerivoula kachinensis	LC
VN	10981	Kerivoula papillosa	LC
VN	10985	Kerivoula picta	LC
VN	136817	Kerivoula titania	LC
VN	12594	Macroglossus minimus	LC
VN	12595	Macroglossus sobrinus	LC
VN	12938	Megaderma lyra	LC
VN	12939	Megaderma spasma	LC
VN	12947	Megaerops niphanae	LC
VN	13566	Miniopterus magnater	LC
VN	13569	Miniopterus pusillus	LC
VN	13937	Murina aurata	LC
VN	84488085	Murina beelzebub	DD
VN	13938	Murina cyclotis	LC
VN	99712630	Murina harrisoni	LC
VN	13942	Murina huttoni	LC
VN	13943	Murina leucogaster	LC
VN	14141	Myotis altarium	LC
VN	136279	Myotis annamiticus	DD
VN	85342605	Myotis annatessae	DD
VN	14144	Myotis ater	LC
VN	14152	Myotis chinensis	LC
VN	14164	Myotis hasseltii	LC
VN	14166	Myotis horsfieldii	LC
VN	85342688	Myotis indochinensis	DD
VN	136429	Myotis laniger	LC
VN	14181	Myotis montivagus	LC
VN	85537578	Myotis muricola	LC
VN	14193	Myotis pilosus	VU
VN	14203	Myotis siligorensis	LC
VN	10976	Phoniscus jagorii	LC
VN	17320	Pipistrellus abramus	LC
VN	17332	Pipistrellus ceylonicus	LC
VN	17335	Pipistrellus coromandra	LC
VN	17344	Pipistrellus javanicus	LC
VN	17356	Pipistrellus paterculus	LC
VN	17360	Pipistrellus pulveratus	LC
VN	17368	Pipistrellus tenuis	LC
VN	18729	Pteropus hypomelanus	LC
VN	18734	Pteropus lylei	VU
VN	18766	Pteropus vampyrus	NT
VN	19520	Rhinolophus acuminatus	LC
VN	19522	Rhinolophus affinis	LC
VN	19527	Rhinolophus borneensis	LC
VN	19547	Rhinolophus lepidus	LC
VN	19548	Rhinolophus luctus	LC
VN	19550	Rhinolophus macrotis	LC
VN	19551	Rhinolophus malayanus	LC
VN	19552	Rhinolophus marshalli	LC
VN	84384558	Rhinolophus microglobosus	LC
VN	19558	Rhinolophus paradoxolophus	LC
VN	19559	Rhinolophus pearsonii	LC
VN	85707059	Rhinolophus pusillus	LC
VN	19566	Rhinolophus shameli	LC
VN	136651	Rhinolophus siamensis	LC
VN	41529	Rhinolophus sinicus	LC
VN	84383122	Rhinolophus stheno	LC
VN	19573	Rhinolophus thomasi	LC
VN	19754	Rousettus amplexicaudatus	LC
VN	19756	Rousettus leschenaultii	LC
VN	19802	Saccolaimus saccolaimus	LC
VN	20058	Scotomanes ornatus	LC
VN	20067	Scotophilus heathii	LC
VN	20068	Scotophilus kuhlii	LC
VN	20521	Sphaerias blanfordi	LC
VN	21461	Taphozous melanopogon	LC
VN	21465	Taphozous theobaldi	LC
VN	22577	Tylonycteris pachypus	LC
VN	22578	Tylonycteris robustula	LC
MV	18725	Pteropus giganteus	LC
MV	18729	Pteropus hypomelanus	LC
PH	139	Acerodon jubatus	EN
PH	140	Acerodon leucotis	VU
PH	843	Alionycteris paucidentata	LC
PH	4316	Chaerephon plicatus	LC
PH	4600	Cheiromeles parvidens	LC
PH	4601	Cheiromeles torquatus	LC
PH	5075	Coelops robinsoni ssp. hirsutus	DD
PH	136798	Cynopterus luzoniensis	LC
PH	84457227	Desmalopex microleucopterus	EN
PH	6773	Dobsonia chapmani	CR
PH	6931	Dyacopterus spadiceus	NT
PH	7670	Emballonura alecto	LC
PH	136768	Eonycteris robusta	NT
PH	7787	Eonycteris spelaea	LC
PH	17359	Falsistrellus petersi	DD
PH	9248	Glischropus tylopus	LC
PH	9690	Haplonycteris fischeri	LC
PH	99711843	Harpiocephalus harpia	LC
PH	9740	Harpyionycteris whiteheadi	LC
PH	10111	Hipposideros ater	LC
PH	10113	Hipposideros bicolor	LC
PH	10118	Hipposideros cervinus	LC
PH	10121	Hipposideros coronatus	DD
PH	10128	Hipposideros diadema	LC
PH	10144	Hipposideros lekaguli	NT
PH	10153	Hipposideros obscurus	LC
PH	10156	Hipposideros pygmaeus	LC
PH	10974	Kerivoula hardwickii	LC
PH	10983	Kerivoula pellucida	NT
PH	10987	Kerivoula whiteheadi	LC
PH	12594	Macroglossus minimus	LC
PH	12939	Megaderma spasma	LC
PH	12948	Megaerops wetmorei	VU
PH	13562	Miniopterus australis	LC
PH	136233	Miniopterus paululus	DD
PH	13571	Miniopterus tristis	LC
PH	13847	Mops sarasinorum	DD
PH	13938	Murina cyclotis	LC
PH	14144	Myotis ater	LC
PH	14160	Myotis formosus	LC
PH	14166	Myotis horsfieldii	LC
PH	14178	Myotis macrotarsus	LC
PH	85537578	Myotis muricola	LC
PH	136411	Myotis rufopictus	DD
PH	14953	Nyctimene rabori	EN
PH	15665	Otopteropus cartilagonodus	LC
PH	16981	Philetor brachypterus	LC
PH	10976	Phoniscus jagorii	LC
PH	17344	Pipistrellus javanicus	LC
PH	17364	Pipistrellus stenopterus	LC
PH	17368	Pipistrellus tenuis	LC
PH	18653	Ptenochirus jagori	LC
PH	18654	Ptenochirus minor	LC
PH	18722	Pteropus dasymallus	VU
PH	18729	Pteropus hypomelanus	LC
PH	18731	Pteropus leucopterus	LC
PH	18753	Pteropus pumilus	NT
PH	18760	Pteropus speciosus	DD
PH	18766	Pteropus vampyrus	NT
PH	19520	Rhinolophus acuminatus	LC
PH	19525	Rhinolophus arcuatus	LC
PH	19535	Rhinolophus creaghi	LC
PH	19545	Rhinolophus inops	LC
PH	19560	Rhinolophus philippinensis	LC
PH	19564	Rhinolophus rufus	NT
PH	19571	Rhinolophus subrufus	DD
PH	19575	Rhinolophus virgo	LC
PH	19754	Rousettus amplexicaudatus	LC
PH	19802	Saccolaimus saccolaimus	LC
PH	20067	Scotophilus heathii	LC
PH	20068	Scotophilus kuhlii	LC
PH	136534	Styloctenium mindorensis	EN
PH	21461	Taphozous melanopogon	LC
PH	22577	Tylonycteris pachypus	LC
PH	22578	Tylonycteris robustula	LC
BD	5074	Coelops frithii	NT
BD	6106	Cynopterus sphinx	LC
BD	7936	Eptesicus pachyotis	LC
BD	9978	Hesperoptenus tickelli	LC
BD	10135	Hipposideros fulvus	LC
BD	10136	Hipposideros galeritus	LC
BD	10142	Hipposideros lankadiva	LC
BD	10143	Hipposideros larvatus	LC
BD	10154	Hipposideros pomona	LC
BD	44856	Hypsugo savii	LC
BD	10985	Kerivoula picta	LC
BD	12938	Megaderma lyra	LC
BD	12939	Megaderma spasma	LC
BD	14124	Myotis blythii	LC
BD	14160	Myotis formosus	LC
BD	17332	Pipistrellus ceylonicus	LC
BD	17335	Pipistrellus coromandra	LC
BD	17344	Pipistrellus javanicus	LC
BD	17368	Pipistrellus tenuis	LC
BD	18725	Pteropus giganteus	LC
BD	19522	Rhinolophus affinis	LC
BD	19517	Rhinolophus ferrumequinum	LC
BD	19547	Rhinolophus lepidus	LC
BD	19548	Rhinolophus luctus	LC
BD	19550	Rhinolophus macrotis	LC
BD	19559	Rhinolophus pearsonii	LC
BD	19570	Rhinolophus subbadius	LC
BD	82345477	Rhinopoma hardwickii	LC
BD	19600	Rhinopoma microphyllum	LC
BD	19756	Rousettus leschenaultii	LC
BD	19802	Saccolaimus saccolaimus	LC
BD	20058	Scotomanes ornatus	LC
BD	20067	Scotophilus heathii	LC
BD	20068	Scotophilus kuhlii	LC
BD	17338	Scotozous dormeri	LC
BD	21312	Tadarida aegyptiaca	LC
BD	21311	Tadarida teniotis	LC
BD	22577	Tylonycteris pachypus	LC
BT	85181182	Barbastella leucomelas	LC
BT	6106	Cynopterus sphinx	LC
BT	9978	Hesperoptenus tickelli	LC
BT	14124	Myotis blythii	LC
BT	85537578	Myotis muricola	LC
BT	17335	Pipistrellus coromandra	LC
BT	18725	Pteropus giganteus	LC
BT	19522	Rhinolophus affinis	LC
BT	19517	Rhinolophus ferrumequinum	LC
BT	19559	Rhinolophus pearsonii	LC
BT	19756	Rousettus leschenaultii	LC
BT	20521	Sphaerias blanfordi	LC
BT	21311	Tadarida teniotis	LC
BN	136541	Aethalops aequalis	LC
BN	2538	Balionycteris maculata	LC
BN	4601	Cheiromeles torquatus	LC
BN	4670	Chironax melanocephalus	LC
BN	136423	Cynopterus minutus	LC
BN	7670	Emballonura alecto	LC
BN	7786	Eonycteris major	DD
BN	7787	Eonycteris spelaea	LC
BN	10118	Hipposideros cervinus	LC
BN	10132	Hipposideros dyacorum	LC
BN	10136	Hipposideros galeritus	LC
BN	10108	Hipposideros ridleyi	VU
BN	44195	Hypsugo vordermanni	DD
BN	10974	Kerivoula hardwickii	LC
BN	10975	Kerivoula intermedia	NT
BN	10981	Kerivoula papillosa	LC
BN	10983	Kerivoula pellucida	NT
BN	12594	Macroglossus minimus	LC
BN	12939	Megaderma spasma	LC
BN	12946	Megaerops ecaudatus	LC
BN	13562	Miniopterus australis	LC
BN	13842	Mops mops	NT
BN	13938	Murina cyclotis	LC
BN	14166	Myotis horsfieldii	LC
BN	85537578	Myotis muricola	LC
BN	14937	Nycteris tragata	NT
BN	16563	Penthetor lucasi	LC
BN	17344	Pipistrellus javanicus	LC
BN	18766	Pteropus vampyrus	NT
BN	19535	Rhinolophus creaghi	LC
BN	19565	Rhinolophus sedulus	NT
BN	19754	Rousettus amplexicaudatus	LC
BN	19751	Rousettus spinalatus	VU
BN	19802	Saccolaimus saccolaimus	LC
BN	21461	Taphozous melanopogon	LC
BN	22577	Tylonycteris pachypus	LC
BN	22578	Tylonycteris robustula	LC
KH	41534	Arielulus circumdatus	LC
KH	4316	Chaerephon plicatus	LC
KH	6103	Cynopterus brachyotis	LC
KH	6106	Cynopterus sphinx	LC
KH	7787	Eonycteris spelaea	LC
KH	81189973	Glischropus bucephalus	LC
KH	9248	Glischropus tylopus	LC
