scientific_name	taxonid	kingdom	phylum	class	order	family	genus	main_common_name	authority	published_year	category	criteria	marine_system	freshwater_system	terrestrial_system	aoo_km2	eoo_km2	elevation_upper	elevation_lower	depth_upper	depth_lower	assessor	reviewer	errata_flag	errata_reason	amended_flag	amended_reason
Anoura fistulata	136239	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	Tube-lipped Tailless Bat	Muchhala, Mena-Valenzuela &amp; Albuja, 2005	2008	DD		False	False	True							Burneo, S. & Mantilla, H.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Anoura geoffroyi	88109511	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	Geoffroy's Tailless Bat	Gray, 1838	2016	LC		False	False	True			3600	400			Solari, S.	Battistoni, A.				
Anoura latidens	1568	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	Broad-toothed Tailless Bat	Handley, 1984	2015	LC		False	False	True			2100	50			Mantilla, H. & Molinari, J.	Solari, S.				
Anoura luismanueli	1569	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Anoura	Luis Manuel's Tailless Bat	Molinari, 1994	2008	LC		False	False	True			2100	1100			Pacheco, V. Aguirre, L. & Mantilla, H.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Anthops ornatus	1620	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Anthops	Solomons Leaf-nosed Bat	Thomas, 1888	2008	DD		False	False	True			200	0			Hamilton, S.	Lamoreux, J. (Global Mammal Assessment Team), Racey, P.A., Medellín, R. & Hutson, A.M. (Chiroptera Red List Authority)				
Antrozous pallidus	1790	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Antrozous	Pallid Bat	(Le Conte, 1856)	2017	LC		False	False	True							Arroyo-Cabrales, J. & de Grammont, P.C.	Solari, S.				
Aproteles bulmerae	1933	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PTEROPODIDAE	Aproteles	Bulmer's Fruit Bat	Menzies, 1977	2016	CR	B2ab(iv,v)c(ii); C2a(ii)	False	False	True	8		2400	500			Aplin, K., Armstrong, K. & Wright, D.	Mildenstein, T.				
Ardops nichollsi	2089	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Ardops	Tree Bat	(Thomas, 1891)	2008	LC		False	False	True							Dávalos, L. & Rodriguez, A.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Arielulus aureocollaris	40031	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Arielulus	Collared Sprite	(Kock &amp; Storch, 1996)	2008	LC		False	False	True			2000				Bates, P., Francis, C., Csorba, G. & Furey, N.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Arielulus circumdatus	41534	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Arielulus	Bronze Sprite	(Temminck, 1840)	2008	LC		False	False	True	>2,000	>20,000	2100	1300			Bates, P., Bumrungsri, S., Francis, C., Csorba, G., Walston, J., Molur, S. & Srinivasulu, C.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority) & Cox, N. (Global Mammal Assessment Team)				
Arielulus cuprosus	40775	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Arielulus	Coppery Sprite	(Hill &amp; Francis, 1984)	2016	VU	B2ab(iii)	False	False	True	500-1999	103384	1784	0			MacArthur, E.	Piraccini, R.				
Arielulus societatis	40776	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Arielulus	Social Sprite	(Hill, 1972)	2008	VU	B1ab(iii)	False	False	True							Bates, P., Francis, C. & Csorba, G.	Hutson, A.M., Racey, P.A. (Chiroptera Red List Authority), Chanson, J. & Chiozza, F. (Global Mammal Assessment Team)				
Arielulus torquatus	40032	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	VESPERTILIONIDAE	Arielulus	Necklace Sprite	Csorba &amp; Lee, 1999	2008	LC		False	False	True	unknown	unknown					Smith, A.T., Johnston, C.H. & Csorba, G.	Johnston, C.H. & Chanson, J. (Global Mammal Assessment Team)				
Ariteus flavescens	2110	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Ariteus	Jamaican Fig-eating Bat	(Gray, 1831)	2008	LC		False	False	True			1500	0			Dávalos, L., Arroyo-Cabrales, J., Miller, B., Reid, F., Cuarón, A.D. & de Grammont, P.C.	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Artibeus amplus	2121	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Large Fruit-eating Bat	Handley, 1987	2008	LC		False	False	True			2000	25			Molinari, J., Solari, S., Sampaio, E., Lim, B. & Peters, S	Medellín, R. (Chiroptera Red List Authority) & Schipper, J. (Global Mammal Assessment Team)				
Artibeus concolor	2125	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Brown Fruit-eating Bat	Peters, 1865	2016	LC		False	False	True			1000				Sampaio, E., Lim, B. & Peters, S.	Solari, S.				
Artibeus fimbriatus	2126	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Fringed Fruit-eating Bat	Gray, 1838	2015	LC		False	False	True							Barquez, R. & Diaz, M.	Solari, S.				
Artibeus fraterculus	2127	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Fraternal Fruit-eating Bat	Anthony, 1924	2015	LC		False	False	True							Molinari, J. & Aguirre, L.	Solari, S.				
Artibeus hirsutus	2131	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Hairy Fruit-eating Bat	K. Andersen, 1906	2015	LC		False	False	True							Arroyo-Cabrales, J. & Álvarez-Castañeda, S.T.	Solari, S.				
Artibeus inopinatus	2132	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Honduran Fruit-eating Bat	Davis &amp; Carter, 1964	2016	DD		False	False	True		58494	1000				Reid, F. & Medina, A.	Solari, S.				
Artibeus jamaicensis	88109731	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Jamaican Fruit-eating Bat	Leach, 1821	2016	LC		False	False	True							Miller, B., Reid, F., Arroyo-Cabrales, J., Cuarón, A.D. & de Grammont, P.C.	Solari, S.				
Artibeus lituratus	2136	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Great Fruit-eating Bat	(Olfers, 1818)	2015	LC		False	False	True							Barquez, R., Perez, S., Miller, B. & Diaz, M.	Solari, S.				
Artibeus obscurus	2137	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Dark Fruit-eating Bat	Schinz, 1821	2016	LC		False	False	True			500				Sampaio, E., Lim, B. & Peters, S.	Solari, S.				
Artibeus planirostris	2139	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus	Flat-faced Fruit-eating Bat	(Spix, 1823)	2015	LC		False	False	True							Barquez, R. & Diaz, M.	Solari, S.				
Artibeus schwartzi	88109897	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	PHYLLOSTOMIDAE	Artibeus		Jones, 1978	2016	DD		False	False	True			120				Solari, S.	Battistoni, A.				
Asellia arabica	80222726	ANIMALIA	CHORDATA	MAMMALIA	CHIROPTERA	HIPPOSIDERIDAE	Asellia	Arabian Trident Bat	Benda, Vallo, &amp; Reiter, 2011	2017	DD		False	False	True							Benda, P.	Piraccini, R.				
